Removed outlier trabalho braçal-westhell992912, z-value: 2.84
Removed outlier mau-humor-timm-do-770267, z-value: 2.47
Removed outlier novo-rico-timm-do-770267, z-value: 2.83
Removed outlier farinha integral-timm-do-770267, z-value: 2.27
Removed outlier pau-mandado-timm-do-770267, z-value: 3.40
Removed outlier água mineral-timm-do-770267, z-value: 3.04
Removed outlier papel higiênico-timm-do-770267, z-value: 3.27
Removed outlier trabalho braçal-timm-do-770267, z-value: 3.60
Removed outlier bode expiatório-timm-do-770267, z-value: 2.79
Removed outlier sangue azul-timm-do-770267, z-value: 2.34
Removed outlier máquina virtual-timm-do-770267, z-value: 2.24
Removed outlier novo-rico-keglevic399443, z-value: 2.31
Removed outlier sexto sentido-caselihe662833, z-value: 2.35
Removed outlier caixa-forte-caselihe662833, z-value: 3.09
Removed outlier sangue frio-caselihe662833, z-value: 2.53
Removed outlier pé-frio-caselihe662833, z-value: 7.99
Removed outlier classe executiva-caselihe662833, z-value: 2.42
Removed outlier primeiro ministro-caselihe662833, z-value: 3.89
Removed outlier alarme falso-caselihe662833, z-value: 2.41
Removed outlier sala cirúrgica-gutterre427311, z-value: 3.19
Removed outlier pé quente-azevedo-410116, z-value: 3.39
Removed outlier companhia aérea-azevedo-410116, z-value: 2.34
Removed outlier círculo virtuoso-azevedo-410116, z-value: 2.26
Removed outlier primeira mão-azevedo-410116, z-value: 3.02
Removed outlier farinha integral-azevedo-410116, z-value: 4.40
Removed outlier reta final-azevedo-410116, z-value: 2.42
Removed outlier arma branca-azevedo-410116, z-value: 2.33
Removed outlier pau-mandado-azevedo-410116, z-value: 2.89
Removed outlier tartaruga-marinha-azevedo-410116, z-value: 6.16
Removed outlier pão-duro-azevedo-410116, z-value: 3.88
Removed outlier tela plana-azevedo-410116, z-value: 3.00
Removed outlier leite integral-azevedo-410116, z-value: 2.73
Removed outlier braço direito-azevedo-410116, z-value: 3.19
Removed outlier pente fino-azevedo-410116, z-value: 2.65
Removed outlier batata-doce-azevedo-410116, z-value: 2.45
Removed outlier sangue frio-figueirm851181, z-value: 3.31
Removed outlier prato feito-figueirm851181, z-value: 2.40
Removed outlier núcleo atômico-figueirm851181, z-value: 4.10
Removed outlier alarme falso-figueirm851181, z-value: 2.41
Removed outlier trabalho braçal-figueirm851181, z-value: 3.60
Removed outlier pronto-socorro-figueirm851181, z-value: 2.33
